epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,65,,,,0.5937052965164185,0.5735735893249512
0,65,,,1.522243618965149,,
1,131,,,,0.6156414151191711,0.6683127284049988
1,131,,,0.6667635440826416,,
2,197,,,,0.5722460746765137,0.3504706621170044
2,197,,,0.6435422897338867,,
3,263,,,,0.6065808534622192,0.4618395268917084
3,263,,,0.6672334671020508,,
4,329,,,,0.628993809223175,0.5599547624588013
4,329,,,0.6236032843589783,,
5,395,,,,0.5817834734916687,0.6987289786338806
5,395,,,0.6072320938110352,,
6,461,,,,0.6928946375846863,0.6631799340248108
6,461,,,0.602253258228302,,
7,527,,,,0.6957558393478394,0.6964795589447021
7,527,,,0.5737605690956116,,
8,593,,,,0.6704816222190857,0.5768524408340454
8,593,,,0.5594680905342102,,
9,659,,,,0.7129232287406921,0.6674033403396606
9,659,,,0.5337638258934021,,
10,660,0.7153075933456421,0.6685174703598022,,,
