epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,65,,,,0.5727229118347168,0.4926387369632721
0,65,,,0.8100475668907166,,
1,131,,,,0.6013352274894714,0.48962149024009705
1,131,,,0.661162257194519,,
2,197,,,,0.638054370880127,0.6434946060180664
2,197,,,0.646496593952179,,
3,263,,,,0.6318550109863281,0.6833469867706299
3,263,,,0.63414067029953,,
4,329,,,,0.6528373956680298,0.6966666579246521
4,329,,,0.6264393925666809,,
5,395,,,,0.6733428835868835,0.7118216156959534
5,395,,,0.606015145778656,,
6,461,,,,0.6752503514289856,0.7232832312583923
6,461,,,0.5958436131477356,,
7,527,,,,0.7215068936347961,0.7316176295280457
7,527,,,0.5617489814758301,,
8,593,,,,0.7033857703208923,0.6297619342803955
8,593,,,0.5346568822860718,,
9,659,,,,0.7677634954452515,0.7519103288650513
9,659,,,0.5225805640220642,,
10,660,0.7835002541542053,0.7704752087593079,,,
