user_id,product_id,target,has_bought,has_wishlisted,has_reviewed,user_rating,gender,score_in_app,name,slug,category,product_sku,is_published,description,image_url,score,price,stock,calories,protein,carbs,fats,fiber,sugar,ingredients,allergens,created_at,updated_at,old_price,product_id_x,total_units_sold,product_id_y,wishlist_count,average_rating,review_count,avg_likes_per_review
504,791d1a90-bb30-40d9-8e4c-7397453a2777,1,1,0,0,0.0,,846,Hydration Drink 18,hydration-drink-18,Detox,,1,Hydration Drink 18 - Premium quality.,,5,71.37,521,195,41.0,90.0,5.0,19.0,38.0,Sample ingredients,gluten,2025-04-16 22:19:13,2025-04-16 22:19:13,,791d1a90-bb30-40d9-8e4c-7397453a2777,24.0,791d1a90-bb30-40d9-8e4c-7397453a2777,6.0,2.0,1.0,3.0
761,b86c74c7-d4a5-435a-ab76-3d4281f3f7ef,1,1,0,0,0.0,,557,Omega 3 14,omega-3-14,EnergyDrinks,,1,Omega 3 14 - Premium quality.,,5,90.41,26,339,14.0,17.0,41.0,25.0,29.0,Sample ingredients,"eggs,lactose,nuts",2025-04-16 22:19:12,2025-04-16 22:19:12,,b86c74c7-d4a5-435a-ab76-3d4281f3f7ef,9.0,b86c74c7-d4a5-435a-ab76-3d4281f3f7ef,4.0,1.0,1.0,0.0
407,5cac80c7-2152-445f-8dd0-4f991470018f,1,1,0,0,0.0,,969,Hydration Drink 11,hydration-drink-11,Supplements,,1,Hydration Drink 11 - Premium quality.,,5,50.16,189,267,41.0,9.0,23.0,5.0,11.0,Sample ingredients,"fish,lactose",2025-04-16 22:19:13,2025-04-16 22:19:13,,5cac80c7-2152-445f-8dd0-4f991470018f,23.0,5cac80c7-2152-445f-8dd0-4f991470018f,6.0,4.0,3.0,23.0
718,82e1f5f0-d162-4d19-9b7e-5a323e293892,1,1,0,0,0.0,,766,Vegan Protein 14,vegan-protein-14,HealthySnacks,,1,Vegan Protein 14 - Premium quality.,,5,93.86,673,297,48.0,65.0,16.0,14.0,4.0,Sample ingredients,"soy,eggs",2025-04-16 22:19:12,2025-04-16 22:19:12,,82e1f5f0-d162-4d19-9b7e-5a323e293892,12.0,82e1f5f0-d162-4d19-9b7e-5a323e293892,1.0,0.0,0.0,0.0
364,6407e951-31eb-4328-af37-da71b6b1efee,1,1,0,0,0.0,,812,Biotin 12,biotin-12,Supplements,,1,Biotin 12 - Premium quality.,,3,49.5,473,274,23.0,78.0,16.0,1.0,40.0,Sample ingredients,gluten,2025-04-16 22:19:12,2025-04-16 22:19:12,,6407e951-31eb-4328-af37-da71b6b1efee,14.0,6407e951-31eb-4328-af37-da71b6b1efee,3.0,5.0,2.0,33.5
378,b2123c56-c3a5-4301-ba5b-0fe246a5448b,1,1,0,0,0.0,,891,Electrolyte Mix 7,electrolyte-mix-7,HealthySnacks,,1,Electrolyte Mix 7 - Premium quality.,,4,63.9,754,265,29.0,24.0,24.0,18.0,8.0,Sample ingredients,none,2025-04-16 22:19:12,2025-04-16 22:19:12,,b2123c56-c3a5-4301-ba5b-0fe246a5448b,6.0,b2123c56-c3a5-4301-ba5b-0fe246a5448b,1.0,0.0,0.0,0.0
540,647abef0-6849-41c9-a363-27a24fd379b2,1,1,0,0,0.0,,1780,Iron Supplement 6,iron-supplement-6,HealthySnacks,,1,Iron Supplement 6 - Premium quality.,,3,87.06,822,233,23.0,56.0,16.0,27.0,20.0,Sample ingredients,"eggs,soy,lactose",2025-04-16 22:19:12,2025-04-16 22:19:12,,647abef0-6849-41c9-a363-27a24fd379b2,22.0,647abef0-6849-41c9-a363-27a24fd379b2,2.0,2.0,1.0,2.0
605,610ce4c9-4be3-45d3-a0ae-5e46cb4a66b1,1,1,0,1,3.0,,1864,Fiber Boost 7,fiber-boost-7,WeightLoss,,1,Fiber Boost 7 - Premium quality.,,5,55.23,706,82,46.0,37.0,30.0,29.0,40.0,Sample ingredients,"gluten,nuts,eggs",2025-04-16 22:19:12,2025-04-16 22:19:12,,610ce4c9-4be3-45d3-a0ae-5e46cb4a66b1,25.0,610ce4c9-4be3-45d3-a0ae-5e46cb4a66b1,4.0,4.0,4.0,17.25
497,8b3e9ec0-eb64-4621-9e31-176554b0ebac,1,1,0,0,0.0,,1666,Immune Gummies 1,immune-gummies-1,Supplements,,1,Immune Gummies 1 - Premium quality.,,3,39.14,967,65,22.0,91.0,19.0,7.0,25.0,Sample ingredients,"nuts,fish",2025-04-16 22:19:13,2025-04-16 22:19:13,,8b3e9ec0-eb64-4621-9e31-176554b0ebac,29.0,8b3e9ec0-eb64-4621-9e31-176554b0ebac,12.0,3.0,2.0,24.0
880,9aba1e3e-8a36-4b9e-83a1-78dd39b1a05a,1,0,1,0,0.0,,1250,Fiber Boost 5,fiber-boost-5,OrganicFoods,,1,Fiber Boost 5 - Premium quality.,,4,91.82,71,270,4.0,32.0,17.0,21.0,26.0,Sample ingredients,eggs,2025-04-16 22:19:12,2025-04-16 22:19:12,,9aba1e3e-8a36-4b9e-83a1-78dd39b1a05a,13.0,9aba1e3e-8a36-4b9e-83a1-78dd39b1a05a,6.0,3.5,2.0,15.0
228,2426abcf-1322-4624-9341-4a5f1652aebe,1,0,1,0,0.0,,716,Almond Protein 18,almond-protein-18,Detox,,1,Almond Protein 18 - Premium quality.,,3,76.57,805,310,43.0,60.0,28.0,8.0,13.0,Sample ingredients,"gluten,eggs,fish",2025-04-16 22:19:13,2025-04-16 22:19:13,,,0.0,2426abcf-1322-4624-9341-4a5f1652aebe,10.0,0.0,0.0,0.0
597,d383c67e-72f8-44ad-a720-d2df221481fb,1,0,1,0,0.0,,1747,Electrolyte Mix 11,electrolyte-mix-11,WeightLoss,,1,Electrolyte Mix 11 - Premium quality.,,3,99.37,348,281,37.0,58.0,0.0,27.0,33.0,Sample ingredients,none,2025-04-16 22:19:12,2025-04-16 22:19:12,,d383c67e-72f8-44ad-a720-d2df221481fb,17.0,d383c67e-72f8-44ad-a720-d2df221481fb,5.0,3.0,1.0,5.0
965,c87f9133-f3ee-4b65-a84a-918120def698,1,1,0,0,0.0,,1765,Multivitamin 10,multivitamin-10,WeightLoss,,1,Multivitamin 10 - Premium quality.,,5,62.98,422,108,19.0,84.0,35.0,13.0,22.0,Sample ingredients,"nuts,eggs",2025-04-16 22:19:11,2025-04-16 22:19:11,,c87f9133-f3ee-4b65-a84a-918120def698,17.0,,0.0,0.0,0.0,0.0
721,f614132b-6eb2-4fab-88a3-17cc6ff92cfa,1,1,0,0,0.0,,1703,Creatine Monohydrate 4,creatine-monohydrate-4,Vitamins,,1,Creatine Monohydrate 4 - Premium quality.,,4,24.34,942,125,40.0,89.0,5.0,24.0,30.0,Sample ingredients,"soy,lactose",2025-04-16 22:19:13,2025-04-16 22:19:13,,f614132b-6eb2-4fab-88a3-17cc6ff92cfa,34.0,f614132b-6eb2-4fab-88a3-17cc6ff92cfa,14.0,4.0,1.0,28.0
984,2939839e-6234-4c08-bea0-20c91c8d16cd,1,0,1,0,0.0,,1234,Fat Burner 12,fat-burner-12,EnergyDrinks,,1,Fat Burner 12 - Premium quality.,,4,62.86,155,351,31.0,23.0,30.0,20.0,39.0,Sample ingredients,"eggs,soy,nuts",2025-04-16 22:19:11,2025-04-16 22:19:11,,2939839e-6234-4c08-bea0-20c91c8d16cd,9.0,2939839e-6234-4c08-bea0-20c91c8d16cd,5.0,0.0,0.0,0.0
