epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,49,,,0.7037978768348694,,
0,65,,,,0.554601788520813,0.5470417141914368
1,99,,,0.6719987988471985,,
1,131,,,,0.5288507342338562,0.24695122241973877
2,149,,,0.6210120320320129,,
2,197,,,,0.6285169124603271,0.6470321416854858
3,199,,,0.6032940745353699,,
3,249,,,0.5975227952003479,,
3,263,,,,0.6285169124603271,0.6929444074630737
4,299,,,0.6119419932365417,,
4,329,,,,0.6704816222190857,0.6594381332397461
5,349,,,0.6176791787147522,,
5,395,,,,0.6728659868240356,0.6441908478736877
6,399,,,0.5839352011680603,,
6,449,,,0.5764337778091431,,
6,461,,,,0.6895565390586853,0.7143483757972717
7,499,,,0.5417508482933044,,
7,527,,,,0.7091082334518433,0.6906693577766418
8,549,,,0.5854529738426208,,
8,593,,,,0.726275622844696,0.7540702819824219
9,599,,,0.5262026786804199,,
9,649,,,0.5389686226844788,,
9,659,,,,0.7396280169487,0.7231237292289734
10,660,0.7367668151855469,0.7288801670074463,,,
