epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,49,,,0.6798254251480103,,
0,65,,,,0.5679542422294617,0.610154926776886
1,99,,,0.6456020474433899,,
1,131,,,,0.6113495230674744,0.6655724048614502
2,149,,,0.6287903785705566,,
2,197,,,,0.64091557264328,0.6861191987991333
3,199,,,0.6083085536956787,,
3,249,,,0.6009947061538696,,
3,263,,,,0.6251788139343262,0.6986196041107178
4,299,,,0.6306192278862,,
4,329,,,,0.6895565390586853,0.6775631308555603
5,349,,,0.5838844776153564,,
5,395,,,,0.6542680263519287,0.5532963871955872
6,399,,,0.5981808304786682,,
6,449,,,0.5418777465820312,,
6,461,,,,0.6990939378738403,0.7429735064506531
7,499,,,0.5092155337333679,,
7,527,,,,0.7529804706573486,0.7445759177207947
8,549,,,0.5085269212722778,,
8,593,,,,0.7510729432106018,0.7778723239898682
9,599,,,0.5169885158538818,,
9,649,,,0.49436870217323303,,
9,659,,,,0.7844539880752563,0.8017544150352478
10,660,0.8035288453102112,0.8271812200546265,,,
