epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,65,,,,0.5703386068344116,0.5910122394561768
0,65,,,1.70212721824646,,
1,131,,,,0.6385312080383301,0.608066201210022
1,131,,,0.667184054851532,,
2,197,,,,0.6666666865348816,0.6503251791000366
2,197,,,0.6448402404785156,,
3,263,,,,0.7043395042419434,0.7176684737205505
3,263,,,0.6201608777046204,,
4,329,,,,0.7057701349258423,0.7404291033744812
4,329,,,0.6008764505386353,,
5,395,,,,0.6995708346366882,0.6605603694915771
5,395,,,0.5850231051445007,,
6,461,,,,0.7091082334518433,0.6655701994895935
6,461,,,0.5763883590698242,,
7,527,,,,0.7434430122375488,0.7365328073501587
7,527,,,0.5385812520980835,,
8,593,,,,0.6618979573249817,0.7468761205673218
8,593,,,0.5264789462089539,,
9,659,,,,0.8321411609649658,0.8264299631118774
9,659,,,0.4695480465888977,,
10,660,0.7997138500213623,0.7912524938583374,,,
