epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,65,,,,0.5667939186096191,0.42458808422088623
0,65,,,0.9794603586196899,,
1,131,,,,0.5257633328437805,0.6372262835502625
1,131,,,0.6653513312339783,,
2,197,,,,0.6364504098892212,0.5635738968849182
2,197,,,0.6464775204658508,,
3,263,,,,0.6517175436019897,0.6651375889778137
3,263,,,0.6363825798034668,,
4,329,,,,0.6459923386573792,0.5231362581253052
4,329,,,0.6229217648506165,,
5,395,,,,0.6431297659873962,0.6978998184204102
5,395,,,0.6048009395599365,,
6,461,,,,0.6412213444709778,0.6999201774597168
6,461,,,0.6041684150695801,,
7,527,,,,0.7385495901107788,0.7097457647323608
7,527,,,0.5481674075126648,,
8,593,,,,0.7781488299369812,0.772838294506073
8,593,,,0.5197451114654541,,
9,659,,,,0.8134542107582092,0.821052610874176
9,659,,,0.47002920508384705,,
10,660,0.8340486288070679,0.8517887592315674,,,
