epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,65,,,,0.5744274854660034,0.4620024263858795
0,65,,,1.0862443447113037,,
1,131,,,,0.5229007601737976,0.6392496228218079
1,131,,,0.665899395942688,,
2,197,,,,0.5577290058135986,0.6593164205551147
2,197,,,0.6601569652557373,,
3,263,,,,0.6407442688941956,0.5182341933250427
3,263,,,0.6331320405006409,,
4,329,,,,0.6512404680252075,0.5895564556121826
4,329,,,0.6164789199829102,,
5,395,,,,0.6655534505844116,0.5680838227272034
5,395,,,0.6019909381866455,,
6,461,,,,0.7061068415641785,0.7174311876296997
6,461,,,0.5782802104949951,,
7,527,,,,0.7156488299369812,0.7474576234817505
7,527,,,0.5510186553001404,,
8,593,,,,0.7900763154029846,0.785365879535675
8,593,,,0.5207303166389465,,
9,659,,,,0.8000954389572144,0.8039307594299316
9,659,,,0.4718705415725708,,
10,660,0.818311870098114,0.8371098637580872,,,
