epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,49,,,0.7246703505516052,,
0,65,,,,0.5541249513626099,0.4055944085121155
1,99,,,0.6523973941802979,,
1,131,,,,0.6041964888572693,0.6666666865348816
2,149,,,0.6240901947021484,,
2,197,,,,0.6690510511398315,0.6798893213272095
3,199,,,0.6074395775794983,,
3,249,,,0.6316190958023071,,
3,263,,,,0.647591769695282,0.5808281302452087
4,299,,,0.650148868560791,,
4,329,,,,0.6747735142707825,0.6552072763442993
5,349,,,0.5817214846611023,,
5,395,,,,0.7205531597137451,0.7264239192008972
6,399,,,0.5447800159454346,,
6,449,,,0.6757489442825317,,
6,461,,,,0.6371006369590759,0.7131549119949341
7,499,,,0.5697564482688904,,
7,527,,,,0.7324749827384949,0.7601538896560669
8,549,,,0.5210253000259399,,
8,593,,,,0.7725321650505066,0.7725321650505066
9,599,,,0.502261757850647,,
9,649,,,0.4503965377807617,,
9,659,,,,0.7434430122375488,0.7825384140014648
10,660,0.7477348446846008,0.793440043926239,,,
