epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,49,,,0.7181648015975952,,
0,65,,,,0.5920801758766174,0.6097672581672668
1,99,,,0.6788487434387207,,
1,131,,,,0.632156491279602,0.6464924216270447
2,149,,,0.6268684267997742,,
2,197,,,,0.5963740348815918,0.3349056541919708
3,199,,,0.6214093565940857,,
3,249,,,0.6335044503211975,,
3,263,,,,0.607824444770813,0.678906261920929
4,299,,,0.6089837551116943,,
4,329,,,,0.6569656729698181,0.7049651145935059
5,349,,,0.6051810383796692,,
5,395,,,,0.6006679534912109,0.6726632714271545
6,399,,,0.5531179308891296,,
6,449,,,0.5534266233444214,,
6,461,,,,0.7084923386573792,0.6482440829277039
7,499,,,0.5663939714431763,,
7,527,,,,0.7032442688941956,0.7408333420753479
8,549,,,0.5412570238113403,,
8,593,,,,0.7638359069824219,0.7812638282775879
9,599,,,0.5035964846611023,,
9,649,,,0.47407540678977966,,
9,659,,,,0.7366412281990051,0.7643040418624878
10,660,0.7391511797904968,0.7843909859657288,,,
