epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,65,,,,0.5646161437034607,0.6113239526748657
0,65,,,1.675174593925476,,
1,131,,,,0.5870290994644165,0.6433278322219849
1,131,,,0.6838125586509705,,
2,197,,,,0.6084883213043213,0.5116002559661865
2,197,,,0.6484109163284302,,
3,263,,,,0.6161182522773743,0.7001861929893494
3,263,,,0.6288655996322632,,
4,329,,,,0.6199332475662231,0.7098653316497803
4,329,,,0.6210041046142578,,
5,395,,,,0.6542680263519287,0.5619335174560547
5,395,,,0.6083606481552124,,
6,461,,,,0.6976633071899414,0.6516483426094055
6,461,,,0.5759018659591675,,
7,527,,,,0.6857415437698364,0.7476062774658203
7,527,,,0.5615447759628296,,
8,593,,,,0.7272293567657471,0.7125627994537354
8,593,,,0.5434496402740479,,
9,659,,,,0.7482117414474487,0.7089305520057678
9,659,,,0.5148360133171082,,
10,660,0.7324749827384949,0.6832298040390015,,,
