epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,49,,,0.6898689270019531,,
0,65,,,,0.5660467147827148,0.5751634240150452
1,99,,,0.6885989904403687,,
1,131,,,,0.5517405867576599,0.2758089303970337
2,149,,,0.6398589015007019,,
2,197,,,,0.6175488829612732,0.6812400817871094
3,199,,,0.6003240346908569,,
3,249,,,0.5956226587295532,,
3,263,,,,0.633762538433075,0.5157629251480103
4,299,,,0.598906397819519,,
4,329,,,,0.6795421838760376,0.6060961484909058
5,349,,,0.5906893610954285,,
5,395,,,,0.7195994257926941,0.7379679083824158
6,399,,,0.5687798857688904,,
6,449,,,0.6001923084259033,,
6,461,,,,0.6056270599365234,0.7111421823501587
7,499,,,0.6615818738937378,,
7,527,,,,0.7443967461585999,0.708695650100708
8,549,,,0.5119011402130127,,
8,593,,,,0.7429661154747009,0.7834471464157104
9,599,,,0.5072117447853088,,
9,649,,,0.5353020429611206,,
9,659,,,,0.6757272481918335,0.5454545617103577
10,660,0.646638035774231,0.5222437381744385,,,
