epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,65,,,,0.5665236115455627,0.5470852255821228
0,65,,,1.3650987148284912,,
1,131,,,,0.6261325478553772,0.6201550364494324
1,131,,,0.6730301976203918,,
2,197,,,,0.5879828333854675,0.6809453368186951
2,197,,,0.6528988480567932,,
3,263,,,,0.6351931095123291,0.6850555539131165
3,263,,,0.6354293823242188,,
4,329,,,,0.6599904894828796,0.6436781883239746
4,329,,,0.6196132898330688,,
5,395,,,,0.6728659868240356,0.6419624090194702
5,395,,,0.6043114066123962,,
6,461,,,,0.6752503514289856,0.7309364080429077
6,461,,,0.5838503241539001,,
7,527,,,,0.7100619673728943,0.6748663187026978
7,527,,,0.5718333125114441,,
8,593,,,,0.728659987449646,0.7554791569709778
8,593,,,0.5735031366348267,,
9,659,,,,0.636623740196228,0.7270773649215698
9,659,,,0.531252384185791,,
10,660,0.6294706463813782,0.7206041216850281,,,
