epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,49,,,0.6932325959205627,,
0,65,,,,0.6030534505844116,0.5666666626930237
1,99,,,0.6670705080032349,,
1,131,,,,0.5992366671562195,0.45169714093208313
2,149,,,0.6310914754867554,,
2,197,,,,0.6283397078514099,0.6368298530578613
3,199,,,0.6312909722328186,,
3,249,,,0.602660059928894,,
3,263,,,,0.6708015203475952,0.6083995699882507
4,299,,,0.5928367376327515,,
4,329,,,,0.6884542107582092,0.7184131145477295
5,349,,,0.6122740507125854,,
5,395,,,,0.6855915784835815,0.6340921521186829
6,399,,,0.6160370111465454,,
6,449,,,0.5317336320877075,,
6,461,,,,0.7127862572669983,0.7266121506690979
7,499,,,0.5223150253295898,,
7,527,,,,0.7614504098892212,0.7162315845489502
8,549,,,0.5174303650856018,,
8,593,,,,0.7628816962242126,0.6986052393913269
9,599,,,0.5070712566375732,,
9,649,,,0.44503775238990784,,
9,659,,,,0.8005725145339966,0.7566938400268555
10,660,0.7992370128631592,0.7822038531303406,,,
